# s_m,x_m,y_m,psi_rad,kappa_radpm,w_tr_right_m,w_tr_left_m
31.72819877,-24.40966711,15.55501725,2.02981181,0.03980389,6.00000000,6.00000000
31.82828772,-24.45419036,15.64465457,2.03431617,0.05020173,6.00000000,6.00000000
31.92837668,-24.49915691,15.73405404,2.03986109,0.06051422,6.00000000,6.00000000
32.02846563,-24.54466209,15.82317378,2.04642978,0.06861528,6.00000000,6.00000000
32.12855459,-24.59079835,15.91197324,2.05359635,0.07037267,6.00000000,6.00000000
32.22864354,-24.63758304,16.00044464,2.06051684,0.06564010,6.00000000,6.00000000
32.32873250,-24.68495367,16.08861519,2.06673605,0.05853245,6.00000000,6.00000000
32.42882145,-24.73284385,16.17651377,2.07223374,0.05132788,6.00000000,6.00000000
32.52891041,-24.78118721,16.26416926,2.07701076,0.04427558,6.00000000,6.00000000
32.62899936,-24.82991736,16.35161054,2.08109673,0.03851458,6.00000000,6.00000000
32.72908832,-24.87897330,16.43886429,2.08472053,0.03531503,6.00000000,6.00000000
32.82917727,-24.92833123,16.52594185,2.08816602,0.03395583,6.00000000,6.00000000
32.92926623,-24.97798305,16.61284809,2.09151773,0.03301979,6.00000000,6.00000000
33.02935518,-25.02792072,16.69958787,2.09477585,0.03208411,6.00000000,6.00000000
33.12944414,-25.07813622,16.78616604,2.09794026,0.03110116,6.00000000,6.00000000
33.22953310,-25.12862151,16.87258746,2.10100162,0.02991204,6.00000000,6.00000000
33.32962205,-25.17936681,16.95885767,2.10392799,0.02843341,6.00000000,6.00000000
33.42971101,-25.23035813,17.04498397,2.10669336,0.02680793,6.00000000,6.00000000
33.52979996,-25.28158081,17.13097393,2.10929435,0.02516589,6.00000000,6.00000000
33.62988892,-25.33302023,17.21683509,2.11173101,0.02352885,6.00000000,6.00000000
33.72997787,-25.38466172,17.30257500,2.11400430,0.02199904,6.00000000,6.00000000
33.83006683,-25.43649083,17.38820115,2.11613473,0.02076379,6.00000000,6.00000000
33.93015578,-25.48849666,17.47371938,2.11816076,0.01981873,6.00000000,6.00000000
34.03024474,-25.54067178,17.55913396,2.12010201,0.01897561,6.00000000,6.00000000
34.13033369,-25.59300891,17.64444910,2.12195925,0.01813630,6.00000000,6.00000000
34.23042265,-25.64550077,17.72966901,2.12373249,0.01730185,6.00000000,6.00000000
34.33051160,-25.69814007,17.81479790,2.12542270,0.01650663,6.00000000,6.00000000
34.43060056,-25.75091971,17.89983988,2.12703676,0.01578646,6.00000000,6.00000000
34.53068951,-25.80383358,17.98479845,2.12858280,0.01511809,6.00000000,6.00000000
34.63077847,-25.85687599,18.06967693,2.13006306,0.01446090,6.00000000,6.00000000
34.73086742,-25.91004123,18.15447860,2.13147755,0.01380386,6.00000000,6.00000000
34.83095638,-25.96332359,18.23920676,2.13282629,0.01316248,6.00000000,6.00000000
34.93104533,-26.01671737,18.32386469,2.13411239,0.01258562,6.00000000,6.00000000
35.03113429,-26.07021742,18.40845540,2.13534566,0.01209567,6.00000000,6.00000000
35.13122324,-26.12381978,18.49298126,2.13653368,0.01164805,6.00000000,6.00000000
35.23131220,-26.17752063,18.57744455,2.13767734,0.01120482,6.00000000,6.00000000
35.33140115,-26.23131617,18.66184756,2.13877664,0.01076247,6.00000000,6.00000000
35.43149011,-26.28520258,18.74619257,2.13983175,0.01033717,6.00000000,6.00000000
35.53157906,-26.33917610,18.83048185,2.14084591,0.00995652,6.00000000,6.00000000
35.63166802,-26.39323346,18.91471736,2.14182482,0.00961790,6.00000000,6.00000000
35.73175697,-26.44737189,18.99890079,2.14277120,0.00929328,6.00000000,6.00000000
35.83184593,-26.50158860,19.08303384,2.14368513,0.00896910,6.00000000,6.00000000
35.93193488,-26.55588081,19.16711819,2.14456662,0.00864785,6.00000000,6.00000000
36.03202384,-26.61024576,19.25115552,2.14541624,0.00834799,6.00000000,6.00000000
36.13211279,-26.66468077,19.33514748,2.14623770,0.00808719,6.00000000,6.00000000
36.23220175,-26.71918370,19.41909536,2.14703512,0.00785210,6.00000000,6.00000000
36.33229070,-26.77375258,19.50300037,2.14780952,0.00762212,6.00000000,6.00000000
36.43237966,-26.82838546,19.58686373,2.14856090,0.00739218,6.00000000,6.00000000
36.53246861,-26.88308036,19.67068663,2.14928927,0.00716611,6.00000000,6.00000000
36.63255757,-26.93783533,19.75447030,2.14999539,0.00695492,6.00000000,6.00000000
36.73264652,-26.99264854,19.83821585,2.15068149,0.00676283,6.00000000,6.00000000
36.83273548,-27.04751841,19.92192428,2.15134916,0.00657960,6.00000000,6.00000000
36.93282443,-27.10244341,20.00559657,2.15199858,0.00639717,6.00000000,6.00000000
37.03291339,-27.15742198,20.08923369,2.15262974,0.00621569,6.00000000,6.00000000
37.13300234,-27.21245258,20.17283662,2.15324282,0.00604978,6.00000000,6.00000000
37.23309130,-27.26753369,20.25640632,2.15384077,0.00592250,6.00000000,6.00000000
37.33318025,-27.32266426,20.33994342,2.15442838,0.00582984,6.00000000,6.00000000
37.43326921,-27.37784354,20.42344832,2.15500777,0.00574805,6.00000000,6.00000000
37.53335816,-27.43307084,20.50692142,2.15557901,0.00566651,6.00000000,6.00000000
37.63344712,-27.48834542,20.59036312,2.15614208,0.00557873,6.00000000,6.00000000
37.73353607,-27.54366656,20.67377380,2.15669575,0.00545001,6.00000000,6.00000000
37.83362503,-27.59903337,20.75715403,2.15723306,0.00525005,6.00000000,6.00000000
37.93371399,-27.65444403,20.84050508,2.15774669,0.00500543,6.00000000,6.00000000
38.03380294,-27.70989649,20.92382845,2.15823503,0.00475271,6.00000000,6.00000000
38.13389190,-27.76538871,21.00712561,2.15869808,0.00450093,6.00000000,6.00000000
38.23398085,-27.82091864,21.09039806,2.15913602,0.00432100,6.00000000,6.00000000
38.33406981,-27.87648425,21.17364726,2.15956305,0.00439829,6.00000000,6.00000000
38.43415876,-27.93208574,21.25687296,2.16001646,0.00478923,6.00000000,6.00000000
38.53424772,-27.98772699,21.34007199,2.16052175,0.00531855,6.00000000,6.00000000
38.63433667,-28.04341223,21.42324097,2.16108112,0.00585895,6.00000000,6.00000000
38.73442563,-28.09914570,21.50637648,2.16169458,0.00636582,6.00000000,6.00000000
38.83451458,-28.15493163,21.58947510,2.16235541,0.00640116,6.00000000,6.00000000
38.93460354,-28.21077317,21.67253427,2.16297595,0.00532675,6.00000000,6.00000000
39.03469249,-28.26666073,21.75556144,2.16342171,0.00330828,6.00000000,6.00000000
39.13478145,-28.32257627,21.83857074,2.16363819,0.00101282,6.00000000,6.00000000
39.23487040,-28.37850157,21.92157638,2.16362445,-0.00128728,6.00000000,6.00000000
39.33495936,-28.43441845,22.00459259,2.16338051,-0.00313065,6.00000000,6.00000000
39.43504831,-28.49030870,22.08763359,2.16299777,-0.00227839,6.00000000,6.00000000
39.53513727,-28.54616855,22.17070230,2.16292443,0.00303054,6.00000000,6.00000000
39.63522622,-28.60205057,22.25375738,2.16360441,0.01099316,6.00000000,6.00000000
39.73531518,-28.65802109,22.33674671,2.16512501,0.01939420,6.00000000,6.00000000
39.83540413,-28.71414644,22.41961816,2.16748670,0.02772466,6.00000000,6.00000000
39.93549309,-28.77049295,22.50231960,2.17067488,0.03204844,6.00000000,6.00000000
40.03558204,-28.82712453,22.58480082,2.17390209,0.02297803,6.00000000,6.00000000
40.13567100,-28.88398321,22.66710730,2.17527457,-0.00159173,6.00000000,6.00000000
40.23575995,-28.94083437,22.74942321,2.17358346,-0.03262752,6.00000000,6.00000000
40.33584891,-28.99742956,22.83194363,2.16874326,-0.06405745,6.00000000,6.00000000
40.43593786,-29.05352030,22.91486361,2.16076058,-0.09318550,6.00000000,6.00000000
40.53602682,-29.10885815,22.99837820,2.15008958,-0.09574525,6.00000000,6.00000000
40.63611577,-29.16326457,23.08262756,2.14159449,-0.03938066,6.00000000,6.00000000
40.73620473,-29.21725984,23.16720316,2.14220645,0.06446461,6.00000000,6.00000000
40.83629368,-29.27176616,23.25138087,2.15449888,0.18165043,6.00000000,6.00000000
40.93638264,-29.32771055,23.33443281,2.17856885,0.29972054,6.00000000,6.00000000
41.03647159,-29.38602000,23.41563109,2.21449631,0.41038622,6.00000000,6.00000000
41.13656055,-29.44762148,23.49424784,2.26071910,0.47895318,6.00000000,6.00000000
41.23664950,-29.51317575,23.56972074,2.31037216,0.48181637,6.00000000,6.00000000
41.33673846,-29.58245439,23.64204036,2.35716810,0.44840162,6.00000000,6.00000000
41.43682741,-29.65504359,23.71131260,2.40013226,0.41086438,6.00000000,6.00000000
41.53691637,-29.73052953,23.77764330,2.43941407,0.37504201,6.00000000,6.00000000
41.63700532,-29.80849840,23.84113835,2.47520739,0.34486464,6.00000000,6.00000000
41.73709428,-29.88854101,23.90190154,2.50844836,0.32806595,6.00000000,6.00000000
41.83718323,-29.97040300,23.95996688,2.54087894,0.32482952,6.00000000,6.00000000
41.93727219,-30.05401782,24.01528378,2.57347205,0.32675284,6.00000000,6.00000000
42.03736114,-30.13933022,24.06779653,2.60628764,0.32899903,6.00000000,6.00000000
42.13745010,-30.22628493,24.11744946,2.63933039,0.33103097,6.00000000,6.00000000
42.23753905,-30.31482672,24.16418686,2.67255273,0.33077147,6.00000000,6.00000000
42.33762801,-30.40489373,24.20796102,2.70554353,0.32592889,6.00000000,6.00000000
42.43771696,-30.49637630,24.24878223,2.73779650,0.31792017,6.00000000,6.00000000
42.53780592,-30.58914362,24.28668642,2.76918412,0.30947033,6.00000000,6.00000000
42.63789488,-30.68306479,24.32170959,2.79974562,0.30143636,6.00000000,6.00000000
42.73798383,-30.77800891,24.35388778,2.82952502,0.29393087,6.00000000,6.00000000
42.83807279,-30.87384515,24.38325702,2.85858409,0.28715679,6.00000000,6.00000000
42.93816174,-30.97045694,24.40985446,2.88700747,0.28107699,6.00000000,6.00000000
43.03825070,-31.06776006,24.43371985,2.91484949,0.27535699,6.00000000,6.00000000
43.13833965,-31.16567473,24.45489327,2.94212785,0.26980550,6.00000000,6.00000000
43.23842861,-31.26412117,24.47341482,2.96885859,0.26441978,6.00000000,6.00000000
43.33851756,-31.36301962,24.48932458,2.99505885,0.25910038,6.00000000,6.00000000
43.43860652,-31.46229088,24.50266302,3.02072477,0.25363873,6.00000000,6.00000000
43.53869547,-31.56186478,24.51347630,3.04583173,0.24802243,6.00000000,6.00000000
43.63878443,-31.66167831,24.52181512,3.07037338,0.24243874,6.00000000,6.00000000
43.73887338,-31.76166863,24.52773029,3.09436261,0.23699592,6.00000000,6.00000000
43.83896234,-31.86177292,24.53127263,3.11781473,0.23172328,6.00000000,6.00000000
43.93905129,-31.96192834,24.53249295,3.14074849,0.22666607,6.00000000,6.00000000
44.03914025,-32.06207541,24.53144172,-3.11999704,0.22182124,6.00000000,6.00000000
44.13922920,-32.16216858,24.52816797,-3.09803311,0.21711331,6.00000000,6.00000000
44.23931816,-32.26216588,24.52272035,-3.07653575,0.21249559,6.00000000,6.00000000
44.33940711,-32.36202535,24.51514753,-3.05549618,0.20797286,6.00000000,6.00000000
44.43949607,-32.46170501,24.50549817,-3.03490418,0.20358951,6.00000000,6.00000000
44.53958502,-32.56116305,24.49382086,-3.01474206,0.19941552,6.00000000,6.00000000
44.63967398,-32.66036288,24.48016226,-2.99498560,0.19543878,6.00000000,6.00000000
44.73976293,-32.75927506,24.46456634,-2.97561953,0.19157136,6.00000000,6.00000000
44.83985189,-32.85787064,24.44707692,-2.95663724,0.18777141,6.00000000,6.00000000
44.93994084,-32.95612065,24.42773778,-2.93803185,0.18405059,6.00000000,6.00000000
45.04002980,-33.05399615,24.40659272,-2.91979438,0.18046919,6.00000000,6.00000000
45.14011875,-33.15146897,24.38368509,-2.90190590,0.17708191,6.00000000,6.00000000
45.24020771,-33.24851724,24.35905474,-2.88434649,0.17383704,6.00000000,6.00000000
45.34029666,-33.34512199,24.33273983,-2.86710757,0.17065705,6.00000000,6.00000000
45.44038562,-33.44126430,24.30477855,-2.85018472,0.16752383,6.00000000,6.00000000
45.54047457,-33.53692524,24.27520907,-2.83357300,0.16449262,6.00000000,6.00000000
45.64056353,-33.63208589,24.24406955,-2.81725693,0.16173305,6.00000000,6.00000000
45.74065248,-33.72672817,24.21139577,-2.80119761,0.15932406,6.00000000,6.00000000
45.84074144,-33.82083610,24.17721774,-2.78536378,0.15710755,6.00000000,6.00000000
45.94083039,-33.91439396,24.14156466,-2.76974815,0.15494784,6.00000000,6.00000000
46.04091935,-34.00738607,24.10446573,-2.75434664,0.15282362,6.00000000,6.00000000
46.14100830,-34.09979673,24.06595014,-2.73915624,0.15060840,6.00000000,6.00000000
46.24109726,-34.19161062,24.02604722,-2.72419817,0.14807711,6.00000000,6.00000000
46.34118621,-34.28281913,23.98478867,-2.70951447,0.14523596,6.00000000,6.00000000
46.44127517,-34.37341932,23.94220819,-2.69512513,0.14229849,6.00000000,6.00000000
46.54136412,-34.46340840,23.89833955,-2.68102946,0.13937328,6.00000000,6.00000000
46.64145308,-34.55278359,23.85321653,-2.66722568,0.13665917,6.00000000,6.00000000
46.74154203,-34.64154212,23.80687289,-2.65367331,0.13524535,6.00000000,6.00000000
46.84163099,-34.72967638,23.75933625,-2.64015255,0.13610479,6.00000000,6.00000000
46.94171994,-34.81715631,23.71060578,-2.62642814,0.13842857,6.00000000,6.00000000
47.04180890,-34.90394534,23.66067234,-2.61244221,0.14107139,6.00000000,6.00000000
47.14189785,-34.99000692,23.60952683,-2.59818876,0.14374486,6.00000000,6.00000000
47.24198681,-35.07530447,23.55716011,-2.58366766,0.14468736,6.00000000,6.00000000
47.34207577,-35.15980223,23.50356392,-2.56922555,0.13946784,6.00000000,6.00000000
47.44216472,-35.24351340,23.44878087,-2.55574928,0.12685170,6.00000000,6.00000000
47.54225368,-35.32652754,23.39293296,-2.54383264,0.11100871,6.00000000,6.00000000
47.64234263,-35.40894078,23.33614907,-2.53352779,0.09489369,6.00000000,6.00000000
47.74243159,-35.49084928,23.27855807,-2.52483702,0.07982662,6.00000000,6.00000000
47.84252054,-35.57234920,23.22028884,-2.51754827,0.07754585,6.00000000,6.00000000
47.94260950,-35.65350758,23.16143883,-2.50931406,0.10386315,6.00000000,6.00000000
48.04269845,-35.73409862,23.10178952,-2.49675716,0.15342470,6.00000000,6.00000000
48.14278741,-35.81372723,23.04093970,-2.47860182,0.20961330,6.00000000,6.00000000
48.24287636,-35.89199624,22.97848595,-2.45479721,0.26618952,6.00000000,6.00000000
48.34296532,-35.96850849,22.91402482,-2.42531656,0.31846543,6.00000000,6.00000000
48.44305427,-36.04286686,22.84715295,-2.39104746,0.34779719,6.00000000,6.00000000
48.54314323,-36.11478353,22.77760648,-2.35569524,0.34193365,6.00000000,6.00000000
48.64323218,-36.18431599,22.70556251,-2.32259990,0.31681701,6.00000000,6.00000000
48.74332114,-36.25158982,22.63128504,-2.29227548,0.28938813,6.00000000,6.00000000
48.84341009,-36.31673059,22.55503806,-2.26467079,0.26259326,6.00000000,6.00000000
48.94349905,-36.37986385,22.47708556,-2.23971011,0.23904500,6.00000000,6.00000000
49.04358800,-36.44111354,22.39768842,-2.21681926,0.22393401,6.00000000,6.00000000
49.14367696,-36.50055240,22.31701010,-2.19488347,0.21748714,6.00000000,6.00000000
49.24376591,-36.55819315,22.23509982,-2.17328314,0.21429412,6.00000000,6.00000000
49.34385487,-36.61404510,22.15200031,-2.15198652,0.21125856,6.00000000,6.00000000
49.44394382,-36.66811756,22.06775429,-2.13099384,0.20813688,6.00000000,6.00000000
49.54403278,-36.72041981,21.98240447,-2.11032211,0.20417171,6.00000000,6.00000000
49.64412173,-36.77096413,21.89599557,-2.09012318,0.19847586,6.00000000,6.00000000
49.74421069,-36.81978539,21.80858765,-2.07059163,0.19152593,6.00000000,6.00000000
49.84429964,-36.86692886,21.72024781,-2.05178392,0.18433370,6.00000000,6.00000000
49.94438860,-36.91243992,21.63104323,-2.03369209,0.17722919,6.00000000,6.00000000
50.04447755,-36.95636389,21.54104104,-2.01630655,0.17037596,6.00000000,6.00000000
50.14456651,-36.99874615,21.45030839,-1.99958659,0.16432361,6.00000000,6.00000000
50.24465546,-37.03962885,21.35890484,-1.98341259,0.15935659,6.00000000,6.00000000
50.34474442,-37.07904565,21.26686948,-1.96768692,0.15495310,6.00000000,6.00000000
50.44483337,-37.11702878,21.17423799,-1.95239440,0.15063696,6.00000000,6.00000000
50.54492233,-37.15361046,21.08104603,-1.93753273,0.14634986,6.00000000,6.00000000
50.64501128,-37.18882290,20.98732929,-1.92309839,0.14216973,6.00000000,6.00000000
50.74510024,-37.22269828,20.89312329,-1.90907349,0.13823754,6.00000000,6.00000000
50.84518919,-37.25526719,20.79845961,-1.89542629,0.13455155,6.00000000,6.00000000
50.94527815,-37.28655854,20.70336558,-1.88213924,0.13096694,6.00000000,6.00000000
51.04536710,-37.31660115,20.60786833,-1.86920960,0.12740772,6.00000000,6.00000000
51.14545606,-37.34542386,20.51199497,-1.85663503,0.12388934,6.00000000,6.00000000
51.24554501,-37.37305548,20.41577264,-1.84440969,0.12054192,6.00000000,6.00000000
51.34563397,-37.39952442,20.31922767,-1.83250520,0.11750674,6.00000000,6.00000000
51.44572292,-37.42485593,20.22238073,-1.82088744,0.11469640,6.00000000,6.00000000
51.54581188,-37.44907388,20.12525000,-1.80954551,0.11194631,6.00000000,6.00000000
51.64590083,-37.47220215,20.02785364,-1.79847826,0.10920867,6.00000000,6.00000000
51.74598979,-37.49426460,19.93020982,-1.78768435,0.10654823,6.00000000,6.00000000
51.84607874,-37.51528511,19.83233669,-1.77714966,0.10419474,6.00000000,6.00000000
51.94616770,-37.53528522,19.73425118,-1.76682686,0.10227684,6.00000000,6.00000000
52.04625666,-37.55428037,19.63596690,-1.75667610,0.10059024,6.00000000,6.00000000
52.14634561,-37.57228497,19.53749693,-1.74669092,0.09894122,6.00000000,6.00000000
52.24643457,-37.58931344,19.43885435,-1.73687025,0.09729803,6.00000000,6.00000000
52.34652352,-37.60538021,19.34005223,-1.72721400,0.09551196,6.00000000,6.00000000
52.44661248,-37.62049992,19.24110358,-1.71775087,0.09328625,6.00000000,6.00000000
52.54670143,-37.63469326,19.14201998,-1.70854016,0.09060145,6.00000000,6.00000000
52.64679039,-37.64798751,19.04281137,-1.69961446,0.08774721,6.00000000,6.00000000
52.74687934,-37.66041023,18.94348766,-1.69097510,0.08488825,6.00000000,6.00000000
52.84696830,-37.67198902,18.84405873,-1.68262171,0.08217957,6.00000000,6.00000000
52.94705725,-37.68275145,18.74453446,-1.67452457,0.08084861,6.00000000,6.00000000
53.04714621,-37.69271927,18.64492446,-1.66643760,0.08231808,6.00000000,6.00000000
53.14723516,-37.70187093,18.54523620,-1.65804631,0.08585301,6.00000000,6.00000000
53.24732412,-37.71016542,18.44547620,-1.64925172,0.08989112,6.00000000,6.00000000
53.34741307,-37.71756167,18.34565098,-1.64005209,0.09394161,6.00000000,6.00000000
53.44750203,-37.72401859,18.24576705,-1.63044669,0.09657538,6.00000000,6.00000000
53.54759098,-37.72949517,18.14583092,-1.62071983,0.09246958,6.00000000,6.00000000
53.64767994,-37.73400746,18.04584982,-1.61193632,0.07848327,6.00000000,6.00000000
53.74776889,-37.73772773,17.94583296,-1.60500922,0.05927452,6.00000000,6.00000000
53.84785785,-37.74085476,17.84578987,-1.60007087,0.03940718,6.00000000,6.00000000
53.94794680,-37.74358732,17.74573007,-1.59712077,0.01964260,6.00000000,6.00000000
54.04803576,-37.74612420,17.64566310,-1.59613886,0.00285921,6.00000000,6.00000000
54.14812471,-37.74866025,17.54559830,-1.59654842,-0.00514375,6.00000000,6.00000000
54.24821367,-37.75127894,17.44553971,-1.59716852,-0.00396518,6.00000000,6.00000000
54.34830262,-37.75393889,17.34548539,-1.59734216,0.00066062,6.00000000,6.00000000
54.44839158,-37.75659218,17.24543310,-1.59703628,0.00545158,6.00000000,6.00000000
54.54848053,-37.75919084,17.14538061,-1.59625087,0.01011232,6.00000000,6.00000000
54.64856949,-37.76168693,17.04532566,-1.59501202,0.01350214,6.00000000,6.00000000
54.74865844,-37.76403770,16.94526626,-1.59354804,0.01426884,6.00000000,6.00000000
54.84874740,-37.76624086,16.84520231,-1.59215571,0.01307825,6.00000000,6.00000000
54.94883635,-37.76831303,16.74513461,-1.59093007,0.01141027,6.00000000,6.00000000
55.04892531,-37.77027094,16.64506396,-1.58987163,0.00973989,6.00000000,6.00000000
55.14901426,-37.77213129,16.54499114,-1.58898036,0.00817578,6.00000000,6.00000000
55.24910322,-37.77391082,16.44491697,-1.58823502,0.00712638,6.00000000,6.00000000
55.34919217,-37.77562199,16.34484203,-1.58755381,0.00684195,6.00000000,6.00000000
55.44928113,-37.77726515,16.24476634,-1.58686541,0.00696758,6.00000000,6.00000000
55.54937008,-37.77883853,16.14468979,-1.58615906,0.00714691,6.00000000,6.00000000
55.64945904,-37.78034031,16.04461230,-1.58543476,0.00732451,6.00000000,6.00000000
55.74954799,-37.78176871,15.94453377,-1.58469285,0.00744616,6.00000000,6.00000000
55.84963695,-37.78312199,15.84445411,-1.58394420,0.00739994,6.00000000,6.00000000
55.94972590,-37.78440054,15.74437333,-1.58321155,0.00717552,6.00000000,6.00000000
56.04981486,-37.78560718,15.64429156,-1.58250782,0.00688311,6.00000000,6.00000000
56.14990381,-37.78674487,15.54420894,-1.58183370,0.00658726,6.00000000,6.00000000
56.24999277,-37.78781658,15.44412560,-1.58118919,0.00629879,6.00000000,6.00000000
56.35008172,-37.78882526,15.34404167,-1.58057282,0.00608500,6.00000000,6.00000000
56.45017068,-37.78977358,15.24395728,-1.57997111,0.00602764,6.00000000,6.00000000
56.55025963,-37.79066182,15.14387242,-1.57936622,0.00608877,6.00000000,6.00000000
56.65034859,-37.79148906,15.04378702,-1.57875227,0.00617947,6.00000000,6.00000000
56.75043755,-37.79225441,14.94370100,-1.57812923,0.00627032,6.00000000,6.00000000
56.85052650,-37.79295694,14.84361431,-1.57749710,0.00631580,6.00000000,6.00000000
56.95061546,-37.79359575,14.74352688,-1.57686495,0.00613559,6.00000000,6.00000000
57.05070441,-37.79417174,14.64343873,-1.57626889,0.00561486,6.00000000,6.00000000
57.15079337,-37.79469124,14.54335022,-1.57574097,0.00490893,6.00000000,6.00000000
57.25088232,-37.79516155,14.44326176,-1.57528623,0.00417797,6.00000000,6.00000000
57.35097128,-37.79559002,14.34317376,-1.57490464,0.00345708,6.00000000,6.00000000
57.45106023,-37.79598394,14.24308663,-1.57459420,0.00309061,6.00000000,6.00000000
57.55114919,-37.79635025,14.14300075,-1.57428596,0.00380738,6.00000000,6.00000000
57.65123814,-37.79668247,14.04291575,-1.57383204,0.00569174,6.00000000,6.00000000
57.75132710,-37.79695791,13.94283030,-1.57314660,0.00802886,6.00000000,6.00000000
57.85141605,-37.79715293,13.84274305,-1.57222484,0.01038978,6.00000000,6.00000000
57.95150501,-37.79724387,13.74265262,-1.57106680,0.01254541,6.00000000,6.00000000
58.05159396,-37.79720708,13.64255766,-1.56971353,0.01254220,6.00000000,6.00000000
58.15168292,-37.79702710,13.54245725,-1.56855613,0.00794963,6.00000000,6.00000000
58.25177187,-37.79675858,13.44235457,-1.56812219,-0.00017230,6.00000000,6.00000000
58.35186083,-37.79649173,13.34225481,-1.56859062,-0.00919615,6.00000000,6.00000000
58.45194978,-37.79631702,13.24216318,-1.56996305,-0.01822958,6.00000000,6.00000000
58.55203874,-37.79632493,13.14208492,-1.57223978,-0.02500961,6.00000000,6.00000000
58.65212769,-37.79660591,13.04202523,-1.57496942,-0.02024291,6.00000000,6.00000000
58.75221665,-37.79715997,12.94198412,-1.57629196,0.00221993,6.00000000,6.00000000
58.85230560,-37.79770548,12.84194538,-1.57452504,0.03444468,6.00000000,6.00000000
58.95239456,-37.79790607,12.74188963,-1.56939690,0.06799715,6.00000000,6.00000000
59.05248351,-37.79742539,12.64179749,-1.56091351,0.10099698,6.00000000,6.00000000
59.15257247,-37.79592707,12.54164961,-1.54917953,0.11619851,6.00000000,6.00000000
59.25266142,-37.79309336,12.44142768,-1.53765314,0.07641907,6.00000000,6.00000000
59.35275038,-37.78927952,12.34115218,-1.53388212,-0.02337130,6.00000000,6.00000000
59.45283933,-37.78568740,12.24089242,-1.54233156,-0.14707216,6.00000000,6.00000000
59.55292829,-37.78357274,12.14072080,-1.56332272,-0.27283954,6.00000000,6.00000000
59.65301724,-37.78419128,12.04070970,-1.59694801,-0.39654472,6.00000000,6.00000000
59.75310620,-37.78879876,11.94093154,-1.64270222,-0.49042233,6.00000000,6.00000000
59.85319515,-37.79854271,11.84146749,-1.69511972,-0.51999572,6.00000000,6.00000000
59.95328411,-37.81359913,11.74247763,-1.74679387,-0.50036932,6.00000000,6.00000000
60.05337306,-37.83363073,11.64416374,-1.79528261,-0.46930146,6.00000000,6.00000000
60.15346202,-37.85829560,11.54672793,-1.84073766,-0.44000633,6.00000000,6.00000000
60.25355097,-37.88725183,11.45037236,-1.88336216,-0.41438743,6.00000000,6.00000000
60.35363993,-37.92015752,11.35529916,-1.92368887,-0.39894176,6.00000000,6.00000000
60.45372888,-37.95674169,11.26170010,-1.96322148,-0.39746291,6.00000000,6.00000000
60.55381784,-37.99696174,11.16973360,-2.00325216,-0.40364431,6.00000000,6.00000000
60.65390679,-38.04082095,11.07955138,-2.04402216,-0.41118480,6.00000000,6.00000000
60.75399575,-38.08832260,10.99130515,-2.08556228,-0.41894390,6.00000000,6.00000000
60.85408470,-38.13946997,10.90514663,-2.12788547,-0.42525960,6.00000000,6.00000000
60.95417366,-38.19426443,10.82122727,-2.17068985,-0.42683237,6.00000000,6.00000000
61.05426261,-38.25263955,10.73968931,-2.21332789,-0.42357975,6.00000000,6.00000000
61.15435157,-38.31444422,10.66066346,-2.25548116,-0.41912218,6.00000000,6.00000000
61.25444052,-38.37952205,10.58427972,-2.29722689,-0.41557320,6.00000000,6.00000000
61.35452948,-38.44771661,10.51066806,-2.33866974,-0.41289277,6.00000000,6.00000000
61.45461843,-38.51887150,10.43995850,-2.37987890,-0.40928974,6.00000000,6.00000000
61.55470739,-38.59283005,10.37227067,-2.42060050,-0.40232553,6.00000000,6.00000000
61.65479635,-38.66943357,10.30764083,-2.46041558,-0.39259754,6.00000000,6.00000000
61.75488530,-38.74852237,10.24606492,-2.49918986,-0.38232896,6.00000000,6.00000000
61.85497426,-38.82993678,10.18753863,-2.53694940,-0.37237847,6.00000000,6.00000000
61.95506321,-38.91351710,10.13205766,-2.57373180,-0.36404889,6.00000000,6.00000000
62.05515217,-38.99910370,10.07961780,-2.60982394,-0.36181725,6.00000000,6.00000000
62.15524112,-39.08654896,10.03026382,-2.64615962,-0.36837510,6.00000000,6.00000000
62.25533008,-39.17573662,9.98416762,-2.68356450,-0.38008597,6.00000000,6.00000000
62.35541903,-39.26655542,9.94152149,-2.72224444,-0.39331579,6.00000000,6.00000000
62.45550799,-39.35889408,9.90251768,-2.76229763,-0.40685949,6.00000000,6.00000000
62.55559694,-39.45264136,9.86734846,-2.80368872,-0.40764679,6.00000000,6.00000000
62.65568590,-39.54768249,9.83618115,-2.84389951,-0.37216874,6.00000000,6.00000000
62.75577485,-39.64383322,9.80868880,-2.87818869,-0.30110208,6.00000000,6.00000000
62.85586381,-39.74084558,9.78409092,-2.90417350,-0.21780529,6.00000000,6.00000000
62.95595276,-39.83846923,9.76159019,-2.92178849,-0.13438554,6.00000000,6.00000000
63.05604172,-39.93645383,9.74038934,-2.93107452,-0.05467873,6.00000000,6.00000000
63.15613067,-40.03454902,9.71969105,-2.93273397,0.00133353,6.00000000,6.00000000
63.25621963,-40.13254520,9.69882786,-2.93080757,0.01514148,6.00000000,6.00000000
63.35630858,-40.23043543,9.67777854,-2.92970298,0.00169334,6.00000000,6.00000000
63.45639754,-40.32827575,9.65672254,-2.93046860,-0.01700279,6.00000000,6.00000000
