# s_m,x_m,y_m,psi_rad,kappa_radpm,w_tr_right_m,w_tr_left_m
6.40569313,-1.64870010,5.70525105,2.73284793,0.08000239,6.00000000,6.00000000
6.50578208,-1.74070595,5.74466584,2.74036868,0.07030302,6.00000000,6.00000000
6.60587104,-1.83298185,5.78343014,2.74692104,0.06062509,6.00000000,6.00000000
6.70595999,-1.92548972,5.82163316,2.75250449,0.05121426,6.00000000,6.00000000
6.80604895,-2.01819143,5.85936410,2.75717300,0.04310469,6.00000000,6.00000000
6.90613790,-2.11105319,5.89670222,2.76113309,0.03692141,6.00000000,6.00000000
7.00622686,-2.20405324,5.93369873,2.76456385,0.03176620,6.00000000,6.00000000
7.10631581,-2.29717195,5.97039996,2.76749198,0.02674479,6.00000000,6.00000000
7.20640477,-2.39038968,6.00685223,2.76991757,0.02174383,6.00000000,6.00000000
7.30649372,-2.48368679,6.04310186,2.77184462,0.01721881,6.00000000,6.00000000
7.40658268,-2.57704399,6.07919446,2.77336439,0.01401346,6.00000000,6.00000000
7.50667163,-2.67044907,6.11515966,2.77464980,0.01211747,6.00000000,6.00000000
7.60676059,-2.76389686,6.15101141,2.77579004,0.01068500,6.00000000,6.00000000
7.70684954,-2.85738246,6.18676303,2.77678870,0.00927037,6.00000000,6.00000000
7.80693850,-2.95090099,6.22242780,2.77764577,0.00787801,6.00000000,6.00000000
7.90702745,-3.04444754,6.25801904,2.77836571,0.00665221,6.00000000,6.00000000
8.00711641,-3.13801752,6.29354920,2.77897739,0.00573404,6.00000000,6.00000000
8.10720536,-3.23160793,6.32902612,2.77951353,0.00502070,6.00000000,6.00000000
8.20729432,-3.32521631,6.36445606,2.77998243,0.00434886,6.00000000,6.00000000
8.30738327,-3.41884020,6.39984529,2.78038408,0.00367748,6.00000000,6.00000000
8.40747223,-3.51247715,6.43520007,2.78071858,0.00304282,6.00000000,6.00000000
8.50756118,-3.60612470,6.47052666,2.78099319,0.00254344,6.00000000,6.00000000
8.60765014,-3.69978094,6.50582998,2.78122772,0.00221249,6.00000000,6.00000000
8.70773909,-3.79344492,6.54111259,2.78143608,0.00195742,6.00000000,6.00000000
8.80782805,-3.88711577,6.57637683,2.78161955,0.00170875,6.00000000,6.00000000
8.90791700,-3.98079263,6.61162504,2.78177813,0.00146217,6.00000000,6.00000000
9.00800596,-4.07447463,6.64685957,2.78191224,0.00124324,6.00000000,6.00000000
9.10809491,-4.16816095,6.68208266,2.78202700,0.00108806,6.00000000,6.00000000
9.20818387,-4.26185108,6.71729569,2.78213005,0.00098607,6.00000000,6.00000000
9.30827282,-4.35554468,6.75249949,2.78222439,0.00089929,6.00000000,6.00000000
